site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Newbury,2011-08-18T00:00:00Z,2011,8,33,18,230,2.680895929,0.615403551,3.296299479,2.334289331,2011-08-18T00:00:00Z,2.36,7,6,I,6.9,0.009,88.5,1.33
Newbury,2011-08-25T00:00:00Z,2011,8,34,25,237,0.516373094,7.78E-02,0.594182739,-2.702116741,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-09-01T00:00:00Z,2011,9,35,1,244,3.176048211,4.24E-02,3.218489835,2.624307096,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-09-08T00:00:00Z,2011,9,36,8,251,0.049515228,0,0.049515228,-3.168974607,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-09-15T00:00:00Z,2011,9,37,15,258,0.084883248,0,0.084883248,3.54E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-09-22T00:00:00Z,2011,9,38,22,265,0,0,0,-8.49E-02,2011-09-19T00:00:00Z,2.17,7.3,6,I,6.85,0.012,85.7,2.67
Newbury,2011-09-29T00:00:00Z,2011,9,39,29,272,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2011-10-06T00:00:00Z,2011,10,40,6,279,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-03-29T00:00:00Z,2012,3,13,29,89,0,0,0,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-04-13T00:00:00Z,2012,4,15,13,104,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-04-19T00:00:00Z,2012,4,16,19,110,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-05-03T00:00:00Z,2012,5,18,3,124,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-05-10T00:00:00Z,2012,5,19,10,131,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-05-17T00:00:00Z,2012,5,20,17,138,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-05-24T00:00:00Z,2012,5,21,24,145,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-05-31T00:00:00Z,2012,5,22,31,152,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-06-07T00:00:00Z,2012,6,23,7,159,0,0,0,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-06-14T00:00:00Z,2012,6,24,14,166,0.03536802,7.07E-03,0.042441624,4.24E-02,2012-06-13T00:00:00Z,1.11,6.2,0,I,6.33,0.039,84,1.83
Newbury,2012-06-21T00:00:00Z,2012,6,25,21,173,0.014147208,0,0.014147208,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-06-28T00:00:00Z,2012,6,26,28,180,0.099030457,0,0.099030457,8.49E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-07-05T00:00:00Z,2012,7,27,5,187,0.162692893,7.07E-03,0.169766497,7.07E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-07-12T00:00:00Z,2012,7,28,12,194,0.530520303,0.120251269,0.650771571,0.481005074,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-07-19T00:00:00Z,2012,7,29,19,201,4.024880695,7.07E-03,4.031954299,3.381182728,2012-07-16T00:00:00Z,1,7.5,6,I,6.88,0.011,85.5,0.94
Newbury,2012-07-26T00:00:00Z,2012,7,30,26,208,0.898347712,0.183913705,1.082261417,-2.949692882,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-08-02T00:00:00Z,2012,8,31,2,215,0.162692893,0,0.162692893,-0.919568524,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-08-09T00:00:00Z,2012,8,32,9,222,0.410269034,5.66E-02,0.466857866,0.304164973,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-08-16T00:00:00Z,2012,8,33,16,229,0.155619289,4.24E-02,0.198060913,-0.268796953,2012-08-13T00:00:00Z,1.03,6.6,6,I,6.75,0.009,83.6,0.9
Newbury,2012-08-23T00:00:00Z,2012,8,34,23,236,0.615403551,6.37E-02,0.679065987,0.481005074,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-08-30T00:00:00Z,2012,8,35,30,243,0.318312182,0,0.318312182,-0.360753806,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-09-06T00:00:00Z,2012,9,36,6,250,0.155619289,0,0.155619289,-0.162692893,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-09-13T00:00:00Z,2012,9,37,13,257,0.424416242,0,0.424416242,0.268796953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-09-20T00:00:00Z,2012,9,38,20,264,0.056588832,0,0.056588832,-0.36782741,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-09-27T00:00:00Z,2012,9,39,27,271,0.014147208,0,0.014147208,-4.24E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2012-10-05T00:00:00Z,2012,10,40,5,279,0,0,0,-1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-04-24T00:00:00Z,2013,4,16,24,114,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-05-02T00:00:00Z,2013,5,17,2,122,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-05-14T00:00:00Z,2013,5,19,14,134,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-05-23T00:00:00Z,2013,5,20,23,143,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-05-30T00:00:00Z,2013,5,21,30,150,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-06-06T00:00:00Z,2013,6,22,6,157,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-06-13T00:00:00Z,2013,6,23,13,164,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-06-20T00:00:00Z,2013,6,24,20,171,0.014147208,0,0.014147208,7.07E-03,2013-06-13T00:00:00Z,2.15,7.3,6,I,6.51,0.013,82.1,1.52
Newbury,2013-06-27T00:00:00Z,2013,6,25,27,178,0,0,0,-1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-07-03T00:00:00Z,2013,7,26,3,184,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-07-11T00:00:00Z,2013,7,27,11,192,0.028294416,7.07E-03,0.03536802,2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-07-18T00:00:00Z,2013,7,28,18,199,0.028294416,0,0.028294416,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-07-25T00:00:00Z,2013,7,29,25,206,1.181291874,0.657845175,1.839137049,1.810842633,2013-07-16T00:00:00Z,0.87,6.3,6,I,6.49,0.007,82.9,0.98
Newbury,2013-08-01T00:00:00Z,2013,8,30,1,213,0.325385786,7.07E-02,0.396121826,-1.443015223,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-08-08T00:00:00Z,2013,8,31,8,220,0.077809644,1.41E-02,0.091956852,-0.304164973,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-08-15T00:00:00Z,2013,8,32,15,227,2.397951767,0.176840101,2.574791868,2.482835016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-08-22T00:00:00Z,2013,8,33,22,234,7.922436517,0.381974618,8.304411135,5.729619267,2013-08-13T00:00:00Z,1.79,7.3,6,I,6.75,0.009,83.8,0.83
Newbury,2013-08-29T00:00:00Z,2013,8,34,29,241,0.148545685,6.37E-02,0.212208121,-8.092203014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-09-05T00:00:00Z,2013,9,35,5,248,2.313068519,1.41E-02,2.327215727,2.115007606,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-09-11T00:00:00Z,2013,9,36,11,254,6.097446677,7.07E-02,6.168182717,3.84096699,2013-09-08T00:00:00Z,1.66,7.3,6,I,6.57,0.007,78.9,1.68
Newbury,2013-09-18T00:00:00Z,2013,9,37,18,261,11.13385275,7.07E-03,11.14092635,4.972743635,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-09-25T00:00:00Z,2013,9,38,25,268,0.346606598,7.07E-03,0.353680202,-10.78724615,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-10-02T00:00:00Z,2013,10,39,2,275,0.679065987,0,0.679065987,0.325385786,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2013-10-09T00:00:00Z,2013,10,40,9,282,0.028294416,0,0.028294416,-0.650771571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-05-29T00:00:00Z,2014,5,21,29,149,0,0,0,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-06-05T00:00:00Z,2014,6,22,5,156,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-06-12T00:00:00Z,2014,6,23,12,163,0,1.41E-02,0.014147208,1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-06-19T00:00:00Z,2014,6,24,19,170,0.190987309,0.169766497,0.360753806,0.346606598,2014-06-17T00:00:00Z,1.96,7.3,6,I,6.74,0.007,87.3,1.48
Newbury,2014-06-26T00:00:00Z,2014,6,25,26,177,0.084883248,7.78E-02,0.162692893,-0.198060913,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-07-02T00:00:00Z,2014,7,26,2,183,0.021220812,2.12E-02,0.042441624,-0.120251269,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-07-09T00:00:00Z,2014,7,27,9,190,0.084883248,4.24E-02,0.127324873,8.49E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-07-14T00:00:00Z,2014,7,28,14,195,NA,NA,NA,NA,2014-07-14T00:00:00Z,1.33,7.3,6,I,6.61,0.007,87.7,0.95
Newbury,2014-07-23T00:00:00Z,2014,7,29,23,204,0.099030457,0,0.099030457,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
