site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week
Coffin,2013-08-15T00:00:00Z,2013,8,15,227,0.0424416242,0,0.0424416242,7.0736039999999972E-3,32
Coffin,2013-08-22T00:00:00Z,2013,8,22,234,0.0282944161,0,0.0282944161,-1.4147208099999999E-2,33
Coffin,2013-08-29T00:00:00Z,2013,8,29,241,1.2944695381,5.6588832300000003E-2,1.3510583703,1.3227639542,34
Coffin,2013-09-05T00:00:00Z,2013,9,5,248,0.2970913694,1.4147208099999999E-2,0.3112385775,-1.0398197928000001,35
Coffin,2013-09-11T00:00:00Z,2013,9,11,254,0.0141472081,0,0.0141472081,-0.29709136940000003,36
Coffin,2013-09-18T00:00:00Z,2013,9,18,261,0.0778096444,0,0.0778096444,6.36624363E-2,37
Coffin,2013-09-25T00:00:00Z,2013,9,25,268,0.0636624363,0,0.0636624363,-1.4147208100000003E-2,38
Coffin,2013-10-02T00:00:00Z,2013,10,2,275,0.0353680202,1.4147208099999999E-2,0.0495152282,-1.4147208100000003E-2,39
Coffin,2013-10-09T00:00:00Z,2013,10,9,282,0.0282944161,0,0.0282944161,-2.1220812099999996E-2,40
Coffin,2014-05-29T00:00:00Z,2014,5,29,149,0,0,0,-2.8294416100000001E-2,21
Coffin,2014-06-05T00:00:00Z,2014,6,5,156,0,1.4147208099999999E-2,0.0141472081,1.4147208099999999E-2,22
Coffin,2014-06-12T00:00:00Z,2014,6,12,163,0.0141472081,7.0736039999999998E-3,0.0212208121,7.0736040000000007E-3,23
Coffin,2014-06-19T00:00:00Z,2014,6,19,170,0,0,0,-2.12208121E-2,24
Coffin,2014-06-26T00:00:00Z,2014,6,26,177,0.1202512686,9.1956852399999997E-2,0.212208121,0.212208121,25
Coffin,2014-07-02T00:00:00Z,2014,7,2,183,0.0495152282,1.4147208099999999E-2,0.0636624363,-0.14854568470000001,26
Coffin,2014-07-09T00:00:00Z,2014,7,9,190,0.0495152282,4.9515228199999997E-2,0.0990304565,3.5368020200000003E-2,27
Coffin,2014-07-17T00:00:00Z,2014,7,17,198,0.1839137049,7.7809644400000003E-2,0.2617233492,0.16269289270000001,28
Coffin,2014-07-23T00:00:00Z,2014,7,23,204,0.2758705573,2.8294416100000001E-2,0.3041649734,4.2441624199999972E-2,29
Coffin,2014-07-30T00:00:00Z,2014,7,30,211,0.3607538057,8.48832484E-2,0.4456370541,0.1414720807,30
Coffin,2014-08-06T00:00:00Z,2014,8,6,218,0.1626928928,2.8294416100000001E-2,0.1909873089,-0.25464974519999994,31
Coffin,2014-08-12T00:00:00Z,2014,8,12,224,0.0919568524,2.12208121E-2,0.1131776645,-7.7809644400000016E-2,32
Coffin,2014-08-20T00:00:00Z,2014,8,20,232,3.5155812044,2.8294416100000001E-2,3.5438756206,3.4306979561000004,33
Coffin,2014-08-27T00:00:00Z,2014,8,27,239,0.9054213162,0.13439847660000001,1.0398197929,-2.5040558277000002,34
Coffin,2014-09-04T00:00:00Z,2014,9,4,247,0.7498020275,2.12208121E-2,0.7710228396,-0.26879695329999997,35
Coffin,2014-09-10T00:00:00Z,2014,9,10,253,0.9549365445,1.4147208099999999E-2,0.9690837525,0.19806091290000005,36
Coffin,2014-09-17T00:00:00Z,2014,9,17,260,0.0212208121,0,0.0212208121,-0.94786294039999996,37
Coffin,2014-09-25T00:00:00Z,2014,9,25,268,0.0141472081,0,0.0141472081,-7.0736040000000007E-3,38
Coffin,2014-10-03T00:00:00Z,2014,10,3,276,0.0495152282,0,0.0495152282,3.5368020099999994E-2,39
Coffin,2014-10-10T00:00:00Z,2014,10,10,283,0.007073604,0,0.007073604,-4.24416242E-2,40
Coffin,2015-05-14T00:00:00Z,2015,5,14,134,0,0,0,-7.0736039999999998E-3,19
Coffin,2015-05-21T00:00:00Z,2015,5,21,141,0,0,0,0,20
Coffin,2015-05-28T00:00:00Z,2015,5,28,148,0,0,0,0,21
Coffin,2015-06-05T00:00:00Z,2015,6,5,156,0,0,0,0,22
Coffin,2015-06-11T00:00:00Z,2015,6,11,162,0,0,0,0,23
Coffin,2015-06-19T00:00:00Z,2015,6,19,170,0,1.4147208099999999E-2,0.0141472081,1.4147208099999999E-2,24
Coffin,2015-07-02T00:00:00Z,2015,7,2,183,0.007073604,7.0736039999999998E-3,0.0141472081,0,26
Coffin,2015-07-09T00:00:00Z,2015,7,9,190,0.0353680202,1.4147208099999999E-2,0.0495152282,3.5368020099999994E-2,27
Coffin,2015-07-16T00:00:00Z,2015,7,16,197,0.0919568524,2.8294416100000001E-2,0.1202512686,7.0736040400000005E-2,28
Coffin,2015-07-23T00:00:00Z,2015,7,23,204,0.1343984766,4.9515228199999997E-2,0.1839137049,6.36624363E-2,29
Coffin,2015-07-30T00:00:00Z,2015,7,30,211,0.0778096444,2.8294416100000001E-2,0.1061040605,-7.7809644400000003E-2,30
Coffin,2015-08-06T00:00:00Z,2015,8,6,218,0.0424416242,1.4147208099999999E-2,0.0565888323,-4.9515228199999997E-2,31
Coffin,2015-08-13T00:00:00Z,2015,8,13,225,0.1556192887,2.12208121E-2,0.1768401008,0.12025126850000001,32
Coffin,2015-08-20T00:00:00Z,2015,8,20,232,0.4597842622,4.9515228199999997E-2,0.5092994904,0.33245938959999999,33
