Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2013-05-25,117.9103287,82,NA
2013-05-26,252.1012308,82,NA
2013-05-27,398.327375,82,NA
2013-05-28,386.7513333,82,NA
2013-05-29,92.35513889,82,NA
2013-05-30,415.4809931,82,82
2013-05-31,418.8893472,83,NA
2013-06-01,384.9582517,83,NA
2013-06-02,340.4036503,83,NA
2013-06-03,339.8065972,83,NA
2013-06-04,402.1761875,83,NA
2013-06-05,477.3161389,83,NA
2013-06-06,324.5145764,83,83
2013-06-07,77.27095139,84,NA
2013-06-08,193.5018951,84,NA
2013-06-09,354.8738462,84,NA
2013-06-10,191.2710208,84,NA
2013-06-11,98.98269444,84,NA
2013-06-12,105.6571458,84,NA
2013-06-13,158.3965139,84,84
2013-06-14,268.3755486,85,NA
2013-06-15,455.4806014,85,NA
2013-06-16,217.445958,85,NA
2013-06-17,306.9064306,85,NA
2013-06-18,101.1791111,85,NA
2013-06-19,442.2522639,85,NA
2013-06-20,464.7036875,85,85
2013-06-21,468.0184167,86,NA
2013-06-22,336.7754755,86,NA
2013-06-23,253.9706923,86,NA
2013-06-24,354.2620486,86,NA
2013-06-25,367.4094028,86,NA
2013-06-26,160.2612917,86,NA
2013-06-27,222.1342708,86,86
2013-06-28,152.62425,87,NA
2013-06-29,379.223951,87,NA
2013-06-30,313.0182308,87,NA
2013-07-01,195.4316597,87,NA
2013-07-02,176.4681181,87,NA
2013-07-03,366.1370347,87,87
2013-07-05,410.4294236,88,NA
2013-07-06,356.4261049,88,NA
2013-07-07,317.5448881,88,NA
2013-07-08,284.8318889,88,NA
2013-07-09,286.8534583,88,NA
2013-07-10,146.9132639,88,NA
2013-07-11,262.2061944,88,88
2013-07-12,393.7657708,89,NA
2013-07-13,229.5866503,89,NA
2013-07-14,370.8363706,89,NA
2013-07-15,424.614375,89,NA
2013-07-16,381.0274444,89,NA
2013-07-17,438.9914514,89,NA
2013-07-18,390.0449583,89,89
2013-07-19,380.5108472,90,NA
2013-07-20,326.8364097,90,NA
2013-07-21,339.2858889,90,NA
2013-07-22,199.6729375,90,NA
2013-07-23,199.5260972,90,NA
2013-07-24,282.0989028,90,NA
2013-07-25,316.5189653,90,90
2013-07-26,199.9256667,91,NA
2013-07-27,430.0206084,91,NA
2013-07-28,286.5551189,91,NA
2013-07-29,389.9605347,91,NA
2013-07-30,396.0636597,91,NA
2013-07-31,370.1383958,91,NA
2013-08-01,243.436125,91,91
2013-08-02,371.8136806,92,NA
2013-08-03,393.614972,92,NA
2013-08-04,376.7531748,92,NA
2013-08-05,463.3915208,92,NA
2013-08-06,370.89925,92,NA
2013-08-07,336.8714514,92,NA
2013-08-08,224.2484375,92,92
2013-08-09,106.9206042,93,NA
2013-08-10,429.6183147,93,NA
2013-08-11,376.3736364,93,NA
2013-08-12,361.0936389,93,NA
2013-08-13,94.10282639,93,NA
2013-08-14,317.8145972,93,NA
2013-08-15,358.1119167,93,93
2013-08-16,325.3929861,94,NA
2013-08-17,349.3570694,94,NA
2013-08-18,244.0741389,94,NA
2013-08-19,313.6272431,94,NA
2013-08-20,328.044375,94,NA
2013-08-21,356.4835208,94,NA
2013-08-22,336.2608819,94,94
2013-08-23,290.5868333,95,NA
2013-08-24,380.8024825,95,NA
2013-08-25,364.2082448,95,NA
2013-08-26,195.1331736,95,NA
2013-08-27,247.5265745,95,NA
2013-08-28,254.4308403,95,NA
2013-08-29,150.414375,95,95
2013-08-30,332.6085139,96,NA
2013-08-31,129.886,96,NA
2013-09-01,228.6194615,96,NA
2013-09-02,149.9055903,96,NA
2013-09-03,159.3349653,96,NA
2013-09-04,313.5056944,96,NA
2013-09-05,271.104875,96,96
2013-09-06,322.3616389,97,NA
2013-09-07,202.6182867,97,NA
2013-09-08,299.7368881,97,NA
2013-09-09,305.7442238,97,NA
2013-09-10,89.63573611,97,NA
2013-09-11,289.1338403,97,97
2013-09-12,108.2047014,98,NA
2013-09-13,154.5649931,98,NA
2013-09-14,131.4761119,98,NA
2013-09-15,263.8733916,98,NA
2013-09-16,194.3083333,98,NA
2013-09-17,321.0791944,98,NA
2013-09-18,325.5795625,98,98
2013-09-19,334.0556111,99,NA
2013-09-20,341.0590278,99,NA
2013-09-21,228.9143611,99,NA
2013-09-22,185.8390764,99,NA
2013-09-23,282.4345556,99,NA
2013-09-24,249.8204653,99,NA
2013-09-25,211.4747357,99,99
2013-09-26,270.2689792,100,NA
2013-09-27,180.7587917,100,NA
2013-09-28,283.2501469,100,NA
2013-09-29,254.0252098,100,NA
2013-09-30,272.9691181,100,NA
2013-10-01,241.4124306,100,NA
2013-10-02,233.6137639,100,100
2014-06-09,NA,103,NA
2014-06-10,NA,103,NA
2014-06-11,NA,103,NA
2014-06-12,NA,103,103
2014-06-13,NA,104,NA
2014-06-14,NA,104,NA
2014-06-15,NA,104,NA
2014-06-16,NA,104,NA
2014-06-17,NA,104,NA
2014-06-18,NA,104,NA
2014-06-19,NA,104,104
2014-06-20,NA,105,NA
2014-06-21,NA,105,NA
2014-06-22,NA,105,NA
2014-06-23,NA,105,NA
2014-06-24,NA,105,NA
2014-06-25,NA,105,NA
2014-06-26,NA,105,105
2014-06-27,NA,106,NA
2014-06-28,NA,106,NA
2014-06-29,NA,106,NA
