date,ppt_mm,ma_3,ma_5,ma_7,ma_10,ma_14
2011-09-15,1.02,0.3399999999999985,0.20400000000000001,0.21142857142857124,6.989000000000002,6.117142857142857
2011-09-16,4.69,1.9033333333333322,1.1420000000000001,0.8157142857142856,3.4940000000000007,6.452142857142857
2011-09-17,0,1.9033333333333322,1.1420000000000001,0.8157142857142856,2.8400000000000007,6.452142857142857
2011-09-18,0,1.563333333333332,1.1420000000000001,0.8157142857142856,0.6170000000000004,6.452142857142857
2011-09-19,0,-1.4641066137244252e-15,1.1420000000000001,0.8157142857142856,0.5710000000000004,5.327142857142857
2011-09-20,1.05,0.34999999999999853,1.1480000000000001,0.9657142857142855,0.6760000000000005,2.5707142857142853
2011-09-21,4.37,1.806666666666665,1.084,1.5899999999999999,1.1130000000000004,2.415714285714285
2011-09-22,12.1,5.839999999999999,3.504,3.172857142857143,2.3230000000000004,1.6921428571428567
2011-09-23,3.8,6.756666666666665,4.264,3.045714285714286,2.7030000000000003,1.9307142857142854
2011-09-24,7.81,7.9033333333333315,5.826,4.161428571428571,3.4840000000000004,2.4885714285714284
2011-09-25,0.73,4.113333333333332,5.762,4.265714285714286,3.4550000000000005,2.540714285714285
2011-09-26,0,2.8466666666666653,4.888,4.265714285714286,2.986,2.540714285714285
2011-09-27,0,0.24333333333333207,2.468,4.115714285714286,2.986,2.540714285714285
2011-09-28,1.01,0.3366666666666654,1.9099999999999997,3.6357142857142857,3.0870000000000006,2.612857142857142
2011-09-29,12.71,4.573333333333332,2.89,3.722857142857143,4.3580000000000005,3.4478571428571425
2011-09-30,31.52,15.079999999999998,9.048,7.682857142857143,7.404999999999999,5.364285714285714
2011-10-01,22.1,22.11,13.468,9.724285714285715,9.178,6.942857142857142
2011-10-02,15.14,22.919999999999998,16.496000000000002,11.782857142857143,9.482000000000001,8.024285714285714
2011-10-03,3.61,13.616666666666665,17.016,12.29857142857143,9.463000000000001,8.282142857142857
2011-10-04,9.21,9.319999999999999,16.316,13.614285714285714,9.603,8.865
2011-10-05,4.19,5.669999999999999,10.85,14.06857142857143,9.949000000000002,8.852142857142857
2011-10-06,0.22,4.539999999999999,6.473999999999999,12.284285714285714,9.971,8.003571428571428
2011-10-07,0,1.4699999999999986,3.446,7.781428571428571,9.971,7.732142857142857
2011-10-08,0,0.0733333333333318,2.724,4.624285714285714,9.870000000000001,7.174285714285714
2011-10-09,0,-1.547373340571312e-15,0.8819999999999999,2.4614285714285713,8.599,7.1221428571428564
2011-10-10,0,-1.547373340571312e-15,0.043999999999999796,1.945714285714286,5.447000000000001,7.1221428571428564
2011-10-11,0,-1.547373340571312e-15,-2.067790383364354e-16,0.6299999999999999,3.2370000000000005,7.1221428571428564
2011-10-12,0,-1.547373340571312e-15,-2.067790383364354e-16,0.03142857142857132,1.7230000000000003,7.05
2011-10-13,3.06,1.0199999999999985,0.6119999999999999,0.437142857142857,1.6680000000000004,6.360714285714286
2011-10-14,5.32,2.7933333333333317,1.6759999999999997,1.197142857142857,1.2790000000000004,4.489285714285714
2011-10-15,34.35,14.243333333333332,8.546000000000001,6.104285714285715,4.295,5.364285714285714
2011-10-16,2.03,13.899999999999999,8.952,6.394285714285714,4.476000000000001,4.4278571428571425
2011-10-17,0.84,12.406666666666666,9.120000000000001,6.514285714285714,4.5600000000000005,4.2299999999999995
2011-10-18,0,0.9566666666666651,8.508,6.514285714285714,4.5600000000000005,3.572142857142857
2011-10-19,0,0.2799999999999984,7.444,6.514285714285714,4.5600000000000005,3.2728571428571422
2011-10-20,12,3.9999999999999982,2.9739999999999998,7.791428571428571,5.76,4.114285714285714
2011-10-21,2.1,4.699999999999998,2.988,7.331428571428572,5.970000000000001,4.264285714285714
2011-10-22,0,4.699999999999998,2.82,2.424285714285714,5.970000000000001,4.264285714285714
2011-10-23,0,0.6999999999999985,2.82,2.1342857142857143,5.664,4.264285714285714
2011-10-24,0,-1.547373340571312e-15,2.82,2.014285714285714,5.132,4.264285714285714
2011-10-25,0.87,0.2899999999999984,0.5939999999999996,2.1385714285714283,1.784,4.326428571428571
2011-10-26,0,0.2899999999999984,0.17399999999999965,2.1385714285714283,1.581,4.326428571428571
2011-10-27,5.96,2.276666666666665,1.3659999999999997,1.2757142857142854,2.093,4.533571428571428
2011-10-28,11.07,5.676666666666666,3.5799999999999996,2.557142857142857,3.2,4.944285714285714
2011-10-29,0,5.676666666666666,3.5799999999999996,2.557142857142857,3.2,2.490714285714285
2011-10-30,22.1,11.056666666666665,7.825999999999999,5.714285714285714,4.21,3.9242857142857135
2011-10-31,0,7.366666666666666,7.825999999999999,5.714285714285714,4,3.864285714285714
2012-04-01,0,NA,NA,NA,NA,NA
2012-04-02,1.65,NA,NA,NA,NA,NA
2012-04-03,0,0.5499999999999999,NA,NA,NA,NA
2012-04-04,0,0.5499999999999999,NA,NA,NA,NA
2012-04-05,0,0,0.32999999999999996,NA,NA,NA
2012-04-06,0,0,0.32999999999999996,NA,NA,NA
2012-04-07,0,0,0,0.2357142857142857,NA,NA
2012-04-08,0,0,0,0.2357142857142857,NA,NA
2012-04-09,0,0,0,0,NA,NA
2012-04-10,0.43,0.14333333333333334,0.086,0.06142857142857143,0.20800000000000002,NA
2012-04-11,0,0.14333333333333334,0.086,0.06142857142857143,0.20800000000000002,NA
2012-04-12,0.92,0.45,0.27,0.19285714285714287,0.135,NA
2012-04-13,0,0.3066666666666667,0.27,0.19285714285714287,0.135,NA
2012-04-14,0,0.3066666666666667,0.27,0.19285714285714287,0.135,0.21428571428571427
2012-04-15,0,0,0.184,0.19285714285714287,0.135,0.21428571428571427
2012-04-16,0,0,0.184,0.19285714285714287,0.135,0.09642857142857143
2012-04-17,0,0,0,0.13142857142857142,0.135,0.09642857142857143
2012-04-18,0,0,0,0.13142857142857142,0.135,0.09642857142857143
2012-04-19,0,0,0,0,0.135,0.09642857142857143
2012-04-20,0,0,0,0,0.09200000000000001,0.09642857142857143
2012-04-21,0,0,0,0,0.09200000000000001,0.09642857142857143
2012-04-22,6.07,2.0233333333333334,1.214,0.8671428571428572,0.607,0.53
