date,MaxWindDir_deg,MaxWindSp_ms
10/17/14,347.3,6.1
10/18/14,352.2,3.7
10/19/14,359.5,5
10/20/14,349,5.1
10/21/14,359.4,3.3
10/22/14,222,7.2
10/23/14,356,15.7
10/24/14,356.4,16.7
10/25/14,356.1,3.7
10/26/14,334.2,3.9
10/27/14,358.3,5.2
10/28/14,300.2,1.4
10/29/14,296.8,2.5
10/30/14,344.6,3.3
10/31/14,351.6,2.5
11/1/14,359.4,6.8
11/2/14,359.8,7.7
11/3/14,351.6,5.1
11/4/14,326.9,1.6
11/5/14,307,5.8
11/6/14,359.5,2.8
11/7/14,354.8,4.9
11/8/14,328,5.4
11/9/14,315.5,5.3
11/10/14,320.4,2.7
11/11/14,359,5.5
11/12/14,348.4,3.5
11/13/14,321.9,2.9
11/14/14,358.4,4.2
11/15/14,359,3.5
11/16/14,306.9,3.7
11/17/14,312.5,20.6
11/18/14,284,7.5
11/19/14,357.3,6
11/20/14,323.8,4.9
11/21/14,352.9,5.1
11/22/14,351,4.1
11/23/14,353,3.5
11/24/14,325.3,13.7
11/25/14,288,5.6
11/26/14,358.9,2.5
11/27/14,NA,NA
11/28/14,NA,NA
11/29/14,NA,NA
11/30/14,314,3.9
12/1/14,358.9,4
12/2/14,357.7,6.3
12/3/14,357.8,12.9
12/4/14,333.9,5.1
12/5/14,332.4,3.1
12/6/14,346,8.4
12/7/14,359.7,3.7
12/8/14,357,4.2
12/9/14,355.3,21.7
12/10/14,359.1,6.5
12/11/14,358.6,26.2
12/12/14,321.8,2.2
12/13/14,353.3,7.2
12/14/14,351.4,4.1
12/15/14,357.9,6.3
12/16/14,352.2,3.8
12/17/14,334.3,4.5
12/18/14,356.3,20.4
12/19/14,357.6,4.8
12/20/14,357,1.7
12/21/14,355.3,1.3
12/22/14,358.6,5
12/23/14,349.9,7.5
12/24/14,358.7,16.7
12/25/14,359.6,7
12/26/14,315.4,5.4
12/27/14,352.7,4.7
12/28/14,350,4.3
12/29/14,341.7,6.3
12/30/14,357.2,3.5
12/31/14,358,4.1
1/1/15,350,5.7
1/2/15,353.8,5.2
1/3/15,357.4,5
1/4/15,357.7,20.2
1/5/15,339.7,6.6
1/6/15,304,3.3
1/7/15,353.1,5.4
1/8/15,351,4.9
1/9/15,349,5.9
1/10/15,278.5,5.5
1/11/15,352,3.4
1/12/15,352.2,4.5
1/13/15,358,5.6
1/14/15,359.4,2
1/15/15,329.6,2.2
1/16/15,354.7,6.8
1/17/15,352.4,4.8
1/18/15,356.6,19.7
1/19/15,305,6.3
1/20/15,324,5
1/21/15,344.8,2.1
1/22/15,329.7,3.3
1/23/15,340,4.1
1/24/15,347.3,7
1/25/15,358,5.3
1/26/15,302.4,1.8
1/27/15,358.4,5.7
1/28/15,352.4,5.1
1/29/15,299.4,3.6
1/30/15,358.7,7
1/31/15,359,7.8
2/1/15,359.1,5.3
2/2/15,346,4.2
2/3/15,359.2,5
2/4/15,359.4,4.7
2/5/15,356.2,6.1
2/6/15,359,3.7
2/7/15,332.9,4.4
2/8/15,358.4,4.2
2/9/15,NA,NA
2/10/15,357.6,4.2
2/11/15,314,1.6
2/12/15,359.6,4.6
2/13/15,359.5,5.9
2/14/15,348.7,2.4
2/15/15,355.8,7.1
2/16/15,348.5,6.4
2/17/15,337.3,1.6
2/18/15,356.9,9.5
2/19/15,359.6,6.1
2/20/15,336.6,7.9
2/21/15,355.6,6.3
2/22/15,356.9,12.5
2/23/15,355,6.6
2/24/15,357.4,4
2/25/15,353.2,5.4
2/26/15,351.8,2.9
2/27/15,359.8,3.9
2/28/15,344,3.3
3/1/15,347,4.5
3/2/15,356,6.4
3/3/15,332,5.2
3/4/15,321,4.9
3/5/15,359.8,4.6
3/6/15,356.6,3.3
3/7/15,334.6,4
3/8/15,351,4.4
3/9/15,335.5,5.8
3/10/15,303.4,5.1
3/11/15,352.4,5.3
3/12/15,359.5,5.5
3/13/15,347.8,3.3
3/14/15,357.9,22.5
3/15/15,350.4,21.8
3/16/15,356,3.9
3/17/15,359,7.3
3/18/15,359,6.8
3/19/15,359,7.1
3/20/15,341.2,2.6
3/21/15,332.8,5.1
3/22/15,330.3,6.1
3/23/15,356.8,6.3
3/24/15,347,3.3
3/25/15,347,4.9
3/26/15,358,4.5
3/27/15,358.5,2.6
3/28/15,353.4,6.4
3/29/15,347.5,4.3
3/30/15,336.6,5
3/31/15,354.8,6.3
4/1/15,359.9,5.2
4/2/15,323,5.8
4/3/15,351.9,5.2
4/4/15,351.9,6.1
4/5/15,351.6,6.1
4/6/15,356.3,3.9
4/7/15,355.8,1
4/8/15,359.5,4.6
4/9/15,358.9,10.8
4/10/15,350.6,18.4
4/11/15,334,7.1
4/12/15,338,4.2
4/13/15,306.8,5.9
4/14/15,359,4.9
4/15/15,356.8,4.4
4/16/15,341.5,5.1
4/17/15,359,4.8
4/18/15,356.6,4.4
4/19/15,350.3,4.1
4/20/15,359.6,5.8
4/21/15,359.2,6
4/22/15,345.8,4.2
4/23/15,NA,NA
4/24/15,NA,NA
4/25/15,NA,NA
4/26/15,NA,NA
4/27/15,NA,NA
4/28/15,NA,NA
4/29/15,NA,NA
4/30/15,NA,NA
5/1/15,NA,NA
5/2/15,NA,NA
5/3/15,NA,NA
