date,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
2011-09-20,-147.30584554,-138.73071190000002,-163.85399540000003,-157.66830113,-4.372035960000002,-6.185694299999994
2011-09-21,-161.84884956,-159.69536194,-170.10956190000002,-131.29218935,-13.59192377,-38.817372539999994
2011-09-22,-163.36764525,-169.60659134000002,-190.09814482,-94.92102095,-18.03514756,-95.17712387
2011-09-23,-76.6121506,-80.74663807000002,-61.02423299999998,-39.92023737,-2.9577641000000057,-21.10399559999999
2011-09-24,-10.801377400000007,-9.992685100000003,-10.898223699999988,-22.947081179999998,8.336181510000003,12.048857600000005
2011-09-25,17.606719899999987,16.5580748,37.028760199999994,7.7304764600000055,9.9920063,29.2982838
2011-09-26,43.43243765999999,47.74207726,70.1571963,27.58687894,12.17981819,42.57031734
2011-09-27,50.86498014,42.26498590000001,47.94613900000002,75.68316992999999,-2.352411589999999,-27.73703089
2011-09-28,73.66715625999998,75.68916663999998,71.94603269999999,46.618924199999995,9.617214119999998,25.327108539999998
2011-09-29,69.35453145,75.24731184,125.25027312,26.86921853,25.258817710000002,98.38105467
2011-09-30,8.8034595999999965,12.328805670000008,-14.026434499999993,3.9707952099999986,-3.0054268499999957,-17.9972298
2011-10-01,-17.165685850000003,-19.472200290000004,-23.27927010000002,2.429378640000003,-6.792096030000003,-25.708648820000008
2011-10-02,-86.95309529,-97.75767119,-76.10398927,-80.053452866,8.877534610000001,3.9494635799999998
2011-10-03,-111.55183160499999,-121.46012166400001,-131.07354192,-67.831836053,-10.779470940000001,-63.241705839999995
2011-10-04,-146.81748105100002,-144.72220765400002,-169.4887472,-114.15460981999999,-15.480659042000001,-55.33413739000001
2011-10-05,-134.57235216499998,-143.096228535,-130.89219192,-96.58761733899999,-6.138161059999998,-34.30457462999999
2011-10-06,-126.33823783199999,-130.214758123,-207.473146033,-58.439354827,-36.226655810000004,-149.03379129
2011-10-07,-104.471954137,-101.390732367,-143.65692267,-51.100357321000004,-23.930049587,-92.55656526
2011-10-08,-91.07282784499999,-93.87055665199999,-123.63852124999998,-45.630917221,-18.271303820999997,-78.00760402
2011-10-09,-21.95525706,-11.639513330000002,-64.20604155,3.2103817020000003,-25.846971862,-67.41642326
2011-10-10,10.174042625,13.293414654,5.3891822000000005,6.887737141,-0.9625292099999996,-1.4985549500000062
2011-10-11,27.845072640999998,26.047734193999997,30.42782514,19.1024591,4.519186771999999,11.325366040000002
2011-10-12,11.232365985000001,20.226305605,-31.90413106,5.286816292,-9.994669673,-37.19094735
2011-10-13,-2.2412225550000002,-2.0898271819999996,-10.611917845,-1.8861340300000005,-1.4589826399999999,-8.72578381
2011-10-14,-8.396925025,-8.476843764,-29.054318069,-1.6399310610000004,-5.685211386000001,-27.414387006999995
2011-10-15,-9.212423857,-7.0972537970000005,-16.740886739,-5.257721753999999,-3.8832813240000004,-11.48316498
2011-10-16,-15.514078351,-15.707883168,-24.544887309,-4.209445787,-4.234179858,-20.335441518000003
2011-10-17,-22.000968927,-18.988906202,-59.895904019,-6.801843848,-13.208248126,-53.094060168999995
2011-10-18,-30.401912058,-27.159333863999997,-52.921098139,-19.346388400000002,-8.594947852999999,-33.574709739
2011-10-19,-24.115044195,-25.396125894,-31.833973959999998,-5.532740855,-6.264884961,-26.301233108
2011-10-20,0.2885396400000002,0.22321533399999982,1.3054251620000001,0.8528380240000004,0.213944747,0.452587136
2011-10-21,0.749142559,1.13385619,-0.6571895729999999,0.3614107950000003,-0.56452122,-1.0186003680000004
2011-10-22,0.47371750300000004,0.5473423560000001,-3.054744923,1.1732334029999993,-0.3365780279999999,-4.227978330000001
2011-10-23,0.2999242249999998,0.5592657399999998,-0.08714116,0.5917218259999997,-0.34893077800000005,-0.6788629870000005
