site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_min,watertemp_mean,watertemp_median,watertemp_max
Coffin,2012-04-13,2012,4,13,104,0,0,0,0,15,NA,NA,NA,NA,NA
Coffin,2012-04-19,2012,4,19,110,0,0,0,0,16,NA,NA,NA,NA,NA
Coffin,2012-05-03,2012,5,3,124,0,0,0,0,18,NA,NA,NA,NA,NA
Coffin,2012-05-10,2012,5,10,131,0,0,0,0,19,NA,NA,NA,NA,NA
Coffin,2012-05-17,2012,5,17,138,0,0,0,0,20,NA,NA,NA,NA,NA
Coffin,2012-05-24,2012,5,24,145,0,0,0,0,21,NA,NA,NA,NA,NA
Coffin,2012-05-31,2012,5,31,152,0,0,0,0,22,1009971.5,17.57,18.43166667,18.45,19.02
Coffin,2012-06-07,2012,6,7,159,0,0,0,0,23,414487.7,16.45,16.80791667,16.61,17.41
Coffin,2012-06-14,2012,6,14,166,0.007073604,0,0.007073604,0.007073604,24,NA,18.21,19.06541667,19.26,20.48
Coffin,2012-06-21,2012,6,21,173,0.014147208,0,0.014147208,0.007073604,25,NA,20.97,21.38375,21.3,22.13
Coffin,2012-06-28,2012,6,28,180,0,0,0,-0.014147208,26,NA,19.18,19.66708333,19.67,19.99
Coffin,2012-07-05,2012,7,5,187,0.014147208,0,0.014147208,0.014147208,27,NA,21.47,22.27291667,22.3,22.63
Coffin,2012-07-12,2012,7,12,194,0.042441624,0,0.042441624,0.028294416,28,1238931.8,22.81,23.2425,23.31,23.66
Coffin,2012-07-19,2012,7,19,201,0.176840101,0.099030457,0.275870557,0.233428933,29,1372146.8,23.83,24.20916667,24.255,24.52
Coffin,2012-07-26,2012,7,26,208,0.141472081,0.007073604,0.148545685,-0.127324873,30,209822,22.97,23.30291667,23.31,23.48
Coffin,2012-08-02,2012,8,2,215,0.134398477,0.021220812,0.155619289,0.007073604,31,1121722.8,23.48,23.80041667,23.83,24.17
Coffin,2012-08-09,2012,8,9,222,0.077809644,0,0.077809644,-0.077809644,32,878952.4,24,24.88625,24.87,25.91
