Date,daily_mean_wnd_ms,sampling_time_temp,sampling_time
2011-10-03,2.824305556,60,NA
2011-10-04,3.302777778,60,NA
2011-10-05,5.846527778,60,NA
2011-10-06,4.879861111,60,60
2012-05-18,1.355944056,61,NA
2012-05-19,1.690277778,61,NA
2012-05-20,2.14375,61,NA
2012-05-21,3.616783217,61,NA
2012-05-22,2.180555556,61,NA
2012-05-23,1.548611111,61,NA
2012-05-24,2.780555556,61,61
2012-05-25,3.603472222,62,NA
2012-05-26,3.364583333,62,NA
2012-05-27,1.940972222,62,NA
2012-05-28,2.933566434,62,NA
2012-05-29,3.988194444,62,NA
2012-05-30,3.013194444,62,NA
2012-05-31,3.902777778,62,62
2012-06-01,3.058333333,63,NA
2012-06-02,6.639583333,63,NA
2012-06-03,4.015972222,63,NA
2012-06-04,4.723776224,63,NA
2012-06-05,2.104861111,63,NA
2012-06-06,1.969444444,63,NA
2012-06-07,2.436111111,63,63
2012-06-08,3.152777778,64,NA
2012-06-09,3.621527778,64,NA
2012-06-10,1.70625,64,NA
2012-06-11,3.195138889,64,NA
2012-06-12,3.724305556,64,NA
2012-06-13,3.230555556,64,NA
2012-06-14,1.922916667,64,64
2012-06-15,2.118055556,65,NA
2012-06-16,2.625,65,NA
2012-06-17,3.654166667,65,NA
2012-06-18,3.139160839,65,NA
2012-06-19,2.303472222,65,NA
2012-06-20,3.707638889,65,NA
2012-06-21,2.609027778,65,65
2012-06-22,3.145138889,66,NA
2012-06-23,2.819444444,66,NA
2012-06-24,2.711111111,66,NA
2012-06-25,2.364335664,66,NA
2012-06-26,4.704166667,66,NA
2012-06-27,5.383333333,66,NA
2012-06-28,3.28125,66,66
2012-06-29,3.343055556,67,NA
2012-06-30,3.769444444,67,NA
2012-07-01,3.175,67,NA
2012-07-02,3.233566434,67,NA
2012-07-03,2.726388889,67,NA
2012-07-04,2.297222222,67,NA
2012-07-05,3.929166667,67,67
2012-07-06,2.211805556,68,NA
2012-07-07,2.785416667,68,NA
2012-07-08,3.793055556,68,NA
2012-07-09,3.192307692,68,NA
2012-07-10,2.308333333,68,NA
2012-07-11,1.452083333,68,NA
2012-07-12,2.15625,68,68
2012-07-13,2.693055556,69,NA
2012-07-14,2.238888889,69,NA
2012-07-15,2.276388889,69,NA
2012-07-16,3.013286713,69,NA
2012-07-17,3.809722222,69,NA
2012-07-18,3.009722222,69,NA
2012-07-19,3.3625,69,69
2012-07-20,2.197916667,70,NA
2012-07-21,2.259722222,70,NA
2012-07-22,3.868055556,70,NA
2012-07-23,3.582517483,70,NA
2012-07-24,5.05,70,NA
2012-07-25,4.160416667,70,NA
2012-07-26,1.8875,70,70
2012-07-27,1.884722222,71,NA
2012-07-28,2.411111111,71,NA
2012-07-29,2.198611111,71,NA
2012-07-30,2.148251748,71,NA
2012-07-31,3.572916667,71,NA
2012-08-01,1.873611111,71,NA
2012-08-02,2.174305556,71,71
2012-08-03,2.41875,72,NA
2012-08-04,2.575694444,72,NA
2012-08-05,4.76875,72,NA
2012-08-06,3.595804196,72,NA
2012-08-07,2.221527778,72,NA
2012-08-08,1.827777778,72,NA
2012-08-09,2.186111111,72,72
2012-08-10,2.8875,73,NA
2012-08-11,2.7125,73,NA
2012-08-12,1.731944444,73,NA
2012-08-13,3.15034965,73,NA
2012-08-14,2.596527778,73,NA
2012-08-15,1.9875,73,NA
2012-08-16,3.185416667,73,73
2012-08-17,3.075,74,NA
2012-08-18,3.004861111,74,NA
2012-08-19,2.019444444,74,NA
2012-08-20,2.395804196,74,NA
2012-08-21,2.858333333,74,NA
2012-08-22,2.260416667,74,NA
2012-08-23,2.485416667,74,74
2012-08-24,1.784027778,75,NA
2012-08-25,3.056944444,75,NA
2012-08-26,1.882638889,75,NA
2012-08-27,3.326573427,75,NA
2012-08-28,4.277083333,75,NA
2012-08-29,3.884722222,75,NA
2012-08-30,4.428472222,75,75
2012-08-31,4.686805556,76,NA
2012-09-01,2.813194444,76,NA
2012-09-02,2.959027778,76,NA
2012-09-03,2.716783217,76,NA
2012-09-04,2.874305556,76,NA
2012-09-05,3.131944444,76,NA
2012-09-06,2.079861111,76,76
2012-09-07,1.513194444,77,NA
2012-09-08,4.825,77,NA
2012-09-09,3.258333333,77,NA
2012-09-10,4.514583333,77,NA
2012-09-11,2.964583333,77,NA
2012-09-12,1.961111111,77,NA
2012-09-13,2.490277778,77,77
2012-09-14,2.903472222,78,NA
2012-09-15,4.415277778,78,NA
2012-09-16,3.309722222,78,NA
2012-09-17,2.376223776,78,NA
2012-09-18,5.420138889,78,NA
2012-09-19,4.75625,78,NA
2012-09-20,3.215277778,78,78
2012-09-21,3.643055556,79,NA
2012-09-22,3.063194444,79,NA
2012-09-23,4.179166667,79,NA
2012-09-24,2.917482517,79,NA
2012-09-25,3.704861111,79,NA
2012-09-26,3.323611111,79,NA
2012-09-27,3.653472222,79,79
2012-09-29,3.222916667,80,NA
2012-09-30,2.459027778,80,NA
2012-10-01,3.932167832,80,NA
2012-10-02,2.340972222,80,NA
2012-10-03,2.157638889,80,NA
2012-10-04,1.865277778,80,NA
2012-10-05,2.629166667,80,80
2013-05-17,4.500694444,81,NA
2013-05-18,1.692307692,81,NA
2013-05-19,2.415384615,81,NA
2013-05-20,3.080555556,81,NA
2013-05-21,3.585416667,81,NA
2013-05-22,3.405555556,81,NA
2013-05-23,3.768055556,81,81
2013-05-24,3.899305556,82,NA
2013-05-25,7.870629371,82,NA
2013-05-26,5.795104895,82,NA
2013-05-27,4.073611111,82,NA
2013-05-28,2.113888889,82,NA
2013-05-29,2.069444444,82,NA
2013-05-30,3,82,82
2013-05-31,2.315972222,83,NA
2013-06-01,2.575524476,83,NA
2013-06-02,3.806993007,83,NA
2013-06-03,3.545138889,83,NA
2013-06-04,5.282638889,83,NA
2013-06-05,2.403472222,83,NA
2013-06-06,3.399305556,83,83
2013-06-07,4.888888889,84,NA
2013-06-08,3.775524476,84,NA
2013-06-09,3.128671329,84,NA
2013-06-10,2.654861111,84,NA
2013-06-11,4.413888889,84,NA
2013-06-12,4.21875,84,NA
2013-06-13,2.404166667,84,84
2013-06-14,3.285416667,85,NA
2013-06-15,3.651048951,85,NA
2013-06-16,2.667132867,85,NA
2013-06-17,2.704166667,85,NA
2013-06-18,1.625,85,NA
2013-06-19,3.243055556,85,NA
2013-06-20,1.911111111,85,85
2013-06-21,2.058333333,86,NA
2013-06-22,2.03006993,86,NA
2013-06-23,2.229370629,86,NA
2013-06-24,3.58125,86,NA
2013-06-25,3.427777778,86,NA
2013-06-26,1.998611111,86,NA
2013-06-27,3.246527778,86,86
