date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2011-06-30,-2.443697499,2011-06-23,midge,19.38916667,19.47,19.71,18.74,0.280882409,0.97,0.014486564,24
2011-07-07,-2.443697499,2011-06-30,midge,21.35708333,21.425,21.68,21.01,0.202043456,0.67,0.009460255,24
2011-07-14,-0.665932217,2011-07-07,midge,23.8125,23.775,24.21,23.18,0.313705068,1.03,0.013173966,24
2011-07-21,-0.79800432,2011-07-14,midge,23.39458333,23.35,24.38,22.34,0.55478926,2.04,0.023714432,24
2011-07-28,-0.638356522,2011-07-21,midge,25.67291667,25.77,26.29,25.07,0.332205792,1.22,0.012939932,24
2011-08-04,-0.072958881,2011-07-28,midge,24.88625,24.9,25.59,24.03,0.522567345,1.56,0.020998236,24
2011-08-11,-0.761034826,2011-08-04,midge,24.33875,24.38,24.73,24.03,0.202104418,0.7,0.008303813,24
2011-08-18,0.613449653,2011-08-11,midge,23.92625,24.03,24.21,23.35,0.252617816,0.86,0.010558187,24
2011-08-25,0.377926019,2011-08-18,midge,23.20375,23.35,23.86,22.34,0.469743802,1.52,0.020244305,24
2011-09-01,0.024307891,2011-08-25,midge,22.48208333,22.425,22.84,22.18,0.189759096,0.66,0.008440459,24
2011-09-08,-0.33405872,2011-09-01,midge,21.3575,21.34,21.68,21.18,0.153827967,0.5,0.007202527,24
2011-09-15,-1.220484084,2011-09-08,midge,21.07291667,21.01,21.34,20.68,0.169204768,0.66,0.00802949,24
2011-09-22,-1.750869961,2011-09-15,midge,20.69208333,20.76,21.18,19.87,0.437512526,1.31,0.021143957,24
2011-09-29,-2.443697499,2011-09-22,midge,18.83111111,18.74,19.55,18.42,0.334493813,1.13,0.017762829,9
2011-10-06,-2.443697499,2011-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-16,-2.443697499,2012-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-29,-2.443697499,2012-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-13,-2.443697499,2012-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-19,-2.443697499,2012-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-03,-2.443697499,2012-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-10,-2.443697499,2012-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-17,-2.443697499,2012-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-24,-2.443697499,2012-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-31,-2.443697499,2012-05-24,midge,18.69181818,19.06,19.22,17.28,0.71178393,1.94,0.038079973,11
2012-06-07,-1.27478095,2012-05-31,midge,20.5275,20.51,21.01,20.03,0.258713372,0.98,0.012603258,24
2012-06-14,-0.838416159,2012-06-07,midge,17.32291667,17.125,17.93,16.81,0.450067427,1.12,0.025981042,24
2012-06-21,-0.289967733,2012-06-14,midge,19.99125,19.71,21.01,19.22,0.650734117,1.79,0.032550947,24
2012-06-28,-1.971688914,2012-06-21,midge,23.32166667,23.34,24.72,22.34,0.64961304,2.38,0.027854486,24
2012-07-05,-0.511780809,2012-06-28,midge,20.35291667,20.27,20.84,20.03,0.282880819,0.81,0.013898785,24
2012-07-12,-0.932640213,2012-07-05,midge,23.3575,23.34,23.86,23.01,0.230391916,0.85,0.009863723,24
2012-07-19,-0.542808437,2012-07-12,midge,24.44958333,24.12,25.76,23.52,0.803213541,2.24,0.032851829,24
2012-07-26,-0.302115104,2012-07-19,midge,25.04625,25.07,25.59,24.72,0.243753484,0.87,0.009732135,24
2012-08-02,-0.165791735,2012-07-26,midge,23.78625,23.86,24.21,23.34,0.228412527,0.87,0.009602713,24
2012-08-09,0.071078287,2012-08-02,midge,24.86166667,24.465,25.93,24.21,0.677685747,1.72,0.027258259,24
2012-08-16,-0.79800432,2012-08-09,midge,25.45875,25.42,25.93,25.07,0.260956643,0.86,0.010250175,24
2012-08-23,-0.553663939,2012-08-16,midge,25.1775,25.07,25.76,24.89,0.20955958,0.87,0.008323288,24
2012-08-30,-0.165791735,2012-08-23,midge,24.39875,24.38,24.89,23.86,0.321495317,1.03,0.013176713,24
2012-09-06,-0.244515176,2012-08-30,midge,23.50625,23.52,23.86,23.17,0.191715652,0.69,0.008155944,24
2012-09-13,-0.188895757,2012-09-06,midge,22.50583333,22.34,23.34,22.17,0.382223662,1.17,0.016983315,24
2012-09-20,-0.482822866,2012-09-13,midge,21.37583333,21.09,22.34,20.68,0.552180788,1.66,0.025832012,24
2012-09-27,-1.605184015,2012-09-20,midge,19.2,19.22,19.38,18.9,0.143980675,0.48,0.007498993,24
2012-10-05,-1.496285346,2012-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-24,-2.443697499,2013-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,-2.443697499,2013-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,-2.443697499,2013-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,-2.443697499,2013-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,-2.443697499,2013-05-23,midge,14.51625,14.67,14.83,14.05,0.299472751,0.78,0.020630173,8
2013-06-06,-2.443697499,2013-05-30,midge,14.35416667,14.285,15.31,13.43,0.723619625,1.88,0.050411817,24
2013-06-13,-1.605184015,2013-06-06,midge,17.49666667,17.53,17.85,17.05,0.270951089,0.8,0.015485869,24
2013-06-20,-1.605184015,2013-06-13,midge,16.22666667,16.26,16.42,16.1,0.08143638,0.32,0.005018676,24
2013-06-27,-1.605184015,2013-06-20,midge,18.32333333,18.01,19.47,17.37,0.817513019,2.1,0.044615955,24
2013-07-03,-1.172227408,2013-06-26,midge,22.74125,22.76,23.44,22.26,0.294873776,1.18,0.012966472,24
2013-07-11,-1.128800578,2013-07-04,midge,24.45916667,24.215,25.52,23.78,0.594686009,1.74,0.024313421,24
2013-07-18,-1.089324144,2013-07-11,midge,25.04333333,24.99,25.52,24.82,0.220782534,0.7,0.00881602,24
2013-07-25,-0.43847669,2013-07-18,midge,27.07333333,27.005,27.63,26.22,0.346870063,1.41,0.012812241,24
2013-08-01,-0.266647102,2013-07-25,midge,23.54625,23.61,23.78,23.27,0.192936405,0.51,0.008193933,24
2013-08-08,-0.361421052,2013-08-01,midge,23.96625,23.95,24.3,23.78,0.144517563,0.52,0.006030045,24
