date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2006-05-18,1.55,25.280000000000005,181.82000000000002,200.64000000000001,202.07,202.84
2006-05-19,0.08,17.290000000000006,89.03,199.31,202.15,202.15
2006-05-20,29.13,30.760000000000005,54.489999999999995,211.03,230.56,231.28
2006-05-21,0,29.210000000000004,46.419999999999995,118.16,229.85,231.28
2006-05-22,5.94,35.07,36.699999999999996,60.43,234.38,237.22
2006-05-23,0,5.940000000000005,35.15,52.36,216.97,237.22
2006-05-24,0,5.940000000000005,35.07,36.699999999999996,124.1,236.5
2006-05-25,0,4.218847493575595e-15,5.9399999999999995,35.15,60.42999999999999,235.79000000000002
2006-05-26,0,4.218847493575595e-15,5.9399999999999995,35.07,52.35999999999999,234.38
2006-05-27,2.17,2.1700000000000044,2.169999999999999,8.109999999999996,38.86999999999999,219.14000000000001
2006-05-28,0,2.1700000000000044,2.169999999999999,8.109999999999996,37.31999999999999,126.27000000000001
2006-05-29,0,2.1700000000000044,2.169999999999999,2.1699999999999955,37.239999999999995,62.6
2006-05-30,0,4.218847493575595e-15,2.169999999999999,2.1699999999999955,8.109999999999992,54.53
2006-05-31,2.01,2.0100000000000042,4.179999999999999,4.179999999999995,10.119999999999992,40.88
2006-06-01,0,2.0100000000000042,2.009999999999999,4.179999999999995,4.179999999999993,39.33
2006-06-02,4.26,6.270000000000004,6.269999999999999,8.439999999999996,8.439999999999992,43.51
2006-06-03,16.5,20.760000000000005,22.77,22.769999999999996,24.93999999999999,30.880000000000003
2006-06-04,21.69,42.45,44.46,44.459999999999994,46.629999999999995,52.57
2006-06-05,0.87,39.06,43.32,45.33,47.49999999999999,47.5
2006-06-06,0,22.560000000000006,43.32,45.33,45.32999999999999,47.5
2006-06-07,0.83,1.7000000000000026,39.89,44.15,46.16,48.330000000000005
2006-06-08,38.99,39.82000000000001,62.38,83.14,85.14999999999999,87.32000000000001
2006-06-09,4.48,44.300000000000004,45.17,83.36,89.63,91.80000000000001
2006-06-10,40.3,83.77000000000001,84.6,107.16,127.92,129.93
2006-06-11,14.88,59.660000000000004,99.48,100.35,142.79999999999998,144.81
2006-06-12,0,55.18000000000001,98.65,99.47999999999999,138.54,144.81
2006-06-13,0,14.88000000000001,59.66,99.47999999999999,122.03999999999999,144.81
2006-06-14,0,8.659739592076221e-15,55.18,98.64999999999999,100.35,142.8
2006-06-15,0.68,0.6800000000000087,15.560000000000002,60.339999999999996,100.16,143.48
2006-06-16,0,0.6800000000000087,0.6800000000000015,55.85999999999999,100.16,139.22
2006-06-17,0,0.6800000000000087,0.6800000000000015,15.559999999999997,99.33,122.72
2006-06-18,0,8.659739592076221e-15,0.6800000000000015,0.6799999999999955,60.339999999999996,101.03
2006-06-19,0,8.659739592076221e-15,0.6800000000000015,0.6799999999999955,55.85999999999999,100.16
2006-06-20,8.99,8.990000000000009,8.990000000000002,9.669999999999996,24.549999999999997,109.15
2006-06-21,1.46,10.450000000000008,10.450000000000001,11.129999999999995,11.129999999999995,109.78
2006-06-22,0,10.450000000000008,10.450000000000001,10.449999999999996,11.129999999999995,70.78999999999999
2006-06-23,0.78,2.240000000000008,11.230000000000002,11.229999999999995,11.909999999999995,67.09
