site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,schmidt.stability_mean,schmidt.stability_max,schmidt.stability_min,schmidt.stability_median,schmidt.stability_sd,schmidt.stability_range,schmidt.stability_CV,schmidt.stability_number_obs,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
Midge,2013-07-18,2013,7,18,199,0.077809644,0,0.077809644,0.007073604,-1.089324144,29,629.6855332,695.5859762,575.85665530000006,628.6924265,20.55601372,119.7293208,0.032644888,144,78.34518130000004,76.87235999999996,104.46021170000006,54.7358461,2.56806495,49.72436542999999
Midge,2013-07-25,2013,7,25,206,0.304164973,0.056588832,0.360753806,0.282944161,-0.43847669,30,494.5533525,543.1103764,456.2832178,496.8976189,15.55430417,86.82715859,0.031451216,144,-135.1321807,-131.7948076,-152.47559980000005,-119.57343750000007,-5.001709549999999,-32.90216221
Midge,2013-08-01,2013,8,1,213,0.141472081,0.396121826,0.537593907,0.176840101,-0.266647102,31,510.880689,532.782112,485.2918338,511.2995843,11.84916325,47.49027819,0.023193602,144,16.3273365,14.401965399999995,-10.328264399999966,29.008616000000018,-3.70514092,-39.3368804
Midge,2013-08-08,2013,8,8,220,0.346606598,0.084883248,0.431489846,-0.106104061,-0.361421052,32,416.9569072,432.2952505,390.5750031,419.1762829,10.04190603,41.7202474,0.024083798,144,-93.92378180000003,-92.1233014,-100.48686149999997,-94.7168307,-1.8072572200000003,-5.77003079
Midge,2013-08-15,2013,8,15,227,0.466857866,0.077809644,0.544667511,0.113177665,-0.261007489,33,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA
Midge,2013-08-22,2013,8,22,234,2.397951767,0.50929949,2.907251258,2.362583747,0.464020014,34,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2013-08-29,2013,8,29,241,1.343984766,0.240502537,1.584487303,-1.322763954,0.200874374,35,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2013-09-05,2013,9,5,248,4.166352776,0.042441624,4.2087944,2.624307096,0.624529027,36,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2013-09-11,2013,9,11,254,9.252274075,0.190987309,9.443261384,5.234466985,0.975287543,37,255.5450158,299.3401085,235.3180785,251.7250932,13.07476083,64.02203004,0.051164218,144,NA,NA,NA,NA,NA,NA
Midge,2013-09-18,2013,9,18,261,81.36766719,0.268796953,81.63646415,72.19320276,1.911903337,38,110.975503,146.873426,74.83153326,107.0578718,17.9183321,72.04189274,0.161462049,144,-144.56951279999998,-144.66722140000002,-152.4666825,-160.48654524,4.84357127,8.01986269999999
Midge,2013-09-25,2013,9,25,268,0.459784262,0,0.459784262,-81.17667988,-0.33405872,39,-2.95916519,2.544401049,-8.152093758,-3.026964398,2.668471737,10.69649481,-0.901765047,140,-113.93466819,-110.084836198,-144.329024951,-82.98362701799999,-15.249860363,-61.34539792999999
Midge,2013-10-02,2013,10,2,275,0.226355329,0.007073604,0.233428933,-0.226355329,-0.625198638,40,37.03241113,63.210197,16.05678494,34.30554212,13.00501879,47.15341205,0.351179369,144,39.99157632,37.332506517999995,60.665795951,24.208878698,10.336547053,36.456917239999996
Midge,2014-05-29,2014,5,29,149,0,0,0,-0.028294416,-2.443697499,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2014-06-05,2014,6,5,156,0.007073604,0,0.007073604,0.007073604,-1.971688914,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midge,2014-06-12,2014,6,12,163,0,0,0,-0.007073604,-2.443697499,24,315.2875178,326.6744766,299.4971284,316.5478478,6.638088118,27.17734819,0.021054078,112,NA,NA,NA,NA,NA,NA
Midge,2014-06-19,2014,6,19,170,0.07073604,0.063662436,0.134398477,0.134398477,-0.860125707,25,331.7295989,373.7208226,302.4519036,325.3208817,17.21049671,71.26891902,0.051881101,144,16.442081099999996,8.773033899999973,47.04634600000003,2.954775199999972,10.572408592000002,44.091570829999995
Midge,2014-06-26,2014,6,26,177,0.091956852,0.134398477,0.226355329,0.091956853,-0.638356522,26,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA
Midge,2014-07-02,2014,7,2,183,0.671992383,0.650771571,1.322763954,1.096408625,0.122662711,27,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2014-07-09,2014,7,9,190,3.027502526,0.700286799,3.727789325,2.405025371,0.571870565,28,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2014-07-17,2014,7,17,198,0.742728424,0.190987309,0.933715732,-2.794073593,-0.028114094,29,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2014-07-23,2014,7,23,204,1.025672585,0.693213195,1.71888578,0.785170048,0.236155645,30,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Midge,2014-07-30,2014,7,30,211,1.202512686,0.099030457,1.301543142,-0.417342638,0.115658146,31,424.0563622,462.2727498,378.7415212,419.6611971,18.74250715,83.53122864,0.044198151,143,NA,NA,NA,NA,NA,NA
Midge,2014-08-06,2014,8,6,218,1.626928928,0.077809644,1.704738572,0.40319543,0.232573947,32,475.8718226,524.1214706,410.091996,479.0993603,26.19492914,114.0294746,0.055046187,143,51.81546039999995,59.43816320000002,61.84872079999997,31.350474799999972,7.452421989999998,30.498245960000006
Midge,2014-08-12,2014,8,12,224,0.551741115,0.028294416,0.580035531,-1.124703041,-0.233858277,32,429.6253818,479.0237898,360.1459204,428.2193706,19.94263068,118.8778694,0.046418651,143,-10.24174929999998,-15.542832599999997,1.7301389999999515,-18.639998099999957,-0.50927145,20.37013709
Midge,2014-08-20,2014,8,20,232,2.440393391,0.007073604,2.447466995,1.867431465,0.389355182,34,244.8908437,304.9143756,202.8119138,241.8129529,21.8740053,102.1024617,0.08932145,143,-93.1447968,-134.78278429999997,-145.21383299999997,194.76611995200003,-95.71712729999999,-339.9799531
