year,week,site,max,mean,median,min,obs,sd,watertemp_weekly_range,watertemp_weekly_cv
2008,25,newbury,21.33,19.987032258064517,19.86,19.04,155,0.5339173706604043,2.289999999999999,0.026713189020094535
2008,26,newbury,21.99,20.00952380952381,20.18,16.47,168,1.0957909726390052,5.52,0.05476347078871754
2008,27,newbury,24.72,22.12160714285714,21.99,20.5,168,0.7712648685333101,4.219999999999999,0.03486477558129606
2008,28,newbury,24.72,22.745535714285715,23.16,18.88,168,1.1444878356288815,5.84,0.050317031438836
2008,29,newbury,25.59,24.175416666666667,24.19,22.33,168,0.817686860232697,3.2600000000000016,0.03382307206974152
2008,30,newbury,23.85,21.872083333333332,22.409999999999997,18.39,168,1.5079918256765799,5.460000000000001,0.06894596196871568
2008,31,newbury,24.54,23.39142857142857,23.33,22.66,168,0.463749733397972,1.879999999999999,0.01982562680948946
2008,32,newbury,23.33,21.441666666666666,21.33,19.21,168,0.9085631656346757,4.1199999999999974,0.04237371934557368
2008,33,newbury,23.33,21.856011904761903,22.16,19.69,168,0.8430370957245044,3.639999999999997,0.038572320485459964
2008,34,newbury,22.66,21.581369047619045,21.49,20.5,168,0.5001244463038217,2.16,0.023173898059956382
2008,35,newbury,22.33,21.22970238095238,21.16,20.34,168,0.4484563351600635,1.9899999999999984,0.021124004807642784
2008,36,newbury,22.83,21.335,21.33,20.34,168,0.5604596060911794,2.4899999999999984,0.026269491731482512
2008,37,newbury,21.33,19.975,20.02,18.56,168,0.6016713249221147,2.7699999999999996,0.030121217768316128
2008,38,newbury,20.18,19.64,19.69,19.21,24,0.29735062015127445,0.9699999999999989,0.015140051942529249
2009,21,newbury,16.31,14.800196078431373,14.89,11.94,153,0.8925963537758788,4.369999999999999,0.06030976542781603
2009,22,newbury,16.47,13.809583333333332,14.11,10.86,168,1.4425394915324634,5.609999999999999,0.10445930602775585
2009,23,newbury,18.56,16.533988095238094,16.63,13.95,168,1.1506848467864235,4.609999999999999,0.06959511765451366
2009,24,newbury,18.72,16.10904761904762,15.84,13.49,168,1.319185122316199,5.229999999999999,0.08189094436323917
2009,25,newbury,19.37,17.152916666666666,17.75,13.95,168,1.3434771911252728,5.420000000000002,0.07832354212599059
2009,26,newbury,21.66,19.433988095238096,20.02,16.63,168,1.4150970174230826,5.030000000000001,0.07281557498585807
2009,27,newbury,20.83,18.662142857142857,19.21,15.52,168,1.4163760549974826,5.309999999999999,0.07589568174671703
2009,28,newbury,20.99,19.49625,19.69,17.27,168,0.8920766914079158,3.719999999999999,0.045756321928982026
2009,29,newbury,22.66,21.012857142857143,20.99,19.37,168,0.7206568384958469,3.289999999999999,0.03429599476151287
2009,30,newbury,22.66,20.176785714285714,20.18,18.23,168,1.0387759502244724,4.43,0.05148371821627618
2009,31,newbury,23.51,21.363035714285715,21.33,19.21,168,1.0353493199329942,4.300000000000001,0.0484645222607873
2009,32,newbury,24.54,22.843273809523808,22.744999999999997,21.83,168,0.5671174059437104,2.710000000000001,0.024826450476081414
2009,33,newbury,26.29,24.18267857142857,24.54,21.83,168,1.3672930874845297,4.460000000000001,0.05654018364615587
2009,34,newbury,25.42,24.093392857142856,24.02,22.66,168,0.6144408200842454,2.7600000000000016,0.0255024613481154
2009,35,newbury,24.02,21.462738095238095,21.16,18.56,168,1.3474063363316833,5.460000000000001,0.06277886494969764
2009,36,newbury,22.66,21.504583333333333,21.49,20.34,168,0.6004268483334173,2.3200000000000003,0.027920878029881257
2009,37,newbury,20.83,19.755178571428573,19.69,19.04,168,0.35807866063581206,1.7899999999999991,0.018125812396031307
2009,38,newbury,19.21,18.197169811320755,18.07,16.95,106,0.6630948430575281,2.2600000000000016,0.03643944909746383
